"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"deep_sets_mean_max","23456","15","1014","40.40097116673037","61","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","16","1015","25.164975452197567","42","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","17","1016","26.786850803211088","42","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","18","1017","51.38645107595596","60","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","19","1018","145.5922426501694","177","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","20","1019","29.97967771557633","48","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","21","1020","445.25891881222907","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","22","1021","40.00943908944323","48","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","23","1022","442.61150389079296","525","0","0","0","1","stay_best","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","24","1023","442.9861732517224","525","0","0","0","1","stay_best","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","25","1024","27.603774234471356","47","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","26","1025","444.2086074617383","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","27","1026","18.60298370642939","33","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","28","1027","25.16501527266806","39","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","29","1028","24.74515208123707","41","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","30","1029","18.15412224380659","33","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","31","1030","31.671962104574803","49","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","32","1031","79.3540384505908","96","1","0","1","0","stay_best","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","33","1032","37.57199138467854","57","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","34","1033","36.75263715679195","54","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","35","1034","24.18170723361182","40","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","36","1035","441.1422252670531","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","37","1036","24.602233153632877","39","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","38","1037","30.170025405622432","46","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","39","1038","26.18363241174686","42","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","40","1039","31.328297478316745","52","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","41","1040","41.37523750346414","50","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","42","1041","445.47852737407476","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","43","1042","44.206480358312035","54","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","44","1043","105.2732104727931","124","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","45","1044","37.16828152337682","44","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","46","1045","439.2700033971598","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","47","1046","53.23918948838878","71","1","0","1","0","overtake_blocked","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","48","1047","36.73765096455094","43","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","49","1048","42.4311883235322","51","1","0","1","0","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","23456","50","1049","442.1824216695206","525","0","0","0","1","overtake_easy","2","meanmax_continuous_stage2_lite_100k_seed23456_20260507_101613"
"deep_sets_mean_max","34567","1","1000","113.57249392590836","143","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","2","1001","97.29368588889582","122","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","3","1002","27.046117686479665","43","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","4","1003","262.9569421492312","284","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","5","1004","210.4722897077153","241","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","6","1005","94.43931413180032","102","1","0","1","0","stay_best","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","7","1006","25.306526696055816","35","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","8","1007","94.80331856955169","115","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","9","1008","21.911563780616316","37","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","10","1009","76.03752119437642","102","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","11","1010","50.62271012363814","57","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","12","1011","348.14052337738076","374","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","13","1012","45.08275778683328","53","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","14","1013","35.403261431504866","43","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","15","1014","36.89665806486526","56","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","16","1015","26.288354411962494","39","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","17","1016","23.413475268819408","39","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","18","1017","37.527564934459384","48","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","19","1018","81.66374044290157","109","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","20","1019","95.81357700354994","132","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","21","1020","116.70451298351634","136","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","22","1021","509.99973473976866","525","0","0","0","1","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","23","1022","316.74064244758904","347","1","0","1","0","stay_best","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","24","1023","124.53022698195345","152","1","0","1","0","stay_best","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","25","1024","30.637565151456847","43","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","26","1025","120.1357727849218","150","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","27","1026","17.959716279912495","31","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","28","1027","22.028029725179593","36","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","29","1028","24.134038255278","39","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","30","1029","17.549084998428846","31","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","31","1030","28.590185363989086","45","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
