lambda_u,model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,39,1038,21.195729560735742,35,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,40,1039,23.90315361057437,45,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,41,1040,193.0859764499153,235,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,42,1041,43.20086259437942,52,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,43,1042,494.4643293918033,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,44,1043,44.792560146580946,55,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,45,1044,497.26487741123276,600,0,0,0,1,stay_best
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,46,1045,500.74818554619736,600,0,0,0,1,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,47,1046,48.28353808537332,61,1,0,1,0,overtake_blocked
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,48,1047,35.34997252926782,43,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,49,1048,41.46084789686482,50,1,0,1,0,overtake_easy
0.01,uncertainty_penalty_lambda_0_01,Uncertainty penalty PPO lambda_u=0.01,23456,50,1049,52.200707143037974,63,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,1,1000,498.44294535476035,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,2,1001,24.60269508287691,38,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,3,1002,27.10728031854503,41,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,4,1003,39.88176431282897,50,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,5,1004,495.3727815873836,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,6,1005,421.93720570474363,519,1,0,1,0,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,7,1006,19.552666586392085,32,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,8,1007,142.9913098435242,173,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,9,1008,21.360423896400864,42,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,10,1009,499.0558518575382,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,11,1010,38.756794392603034,56,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,12,1011,498.8084448551975,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,13,1012,28.136976628476102,44,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,14,1013,40.13842799617379,48,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,15,1014,34.76495763909459,60,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,16,1015,22.032574600031886,37,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,17,1016,27.81730761063509,38,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,18,1017,56.22674302770534,69,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,19,1018,498.25369639116764,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,20,1019,31.218198027171404,43,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,21,1020,42.66506793943443,52,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,22,1021,37.1630727622656,46,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,23,1022,503.74597303313624,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,24,1023,498.877078435623,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,25,1024,26.75644370897577,43,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,26,1025,488.7613280383268,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,27,1026,17.67034848458049,29,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,28,1027,17.943036927611832,35,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,29,1028,25.16550733843224,38,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,30,1029,491.50489708282777,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,31,1030,30.852689783575773,45,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,32,1031,501.15009186012963,600,0,0,0,1,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,33,1032,31.761736589515834,49,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,34,1033,501.43330886743615,600,0,0,0,1,stay_best
