"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","13","53456","31.860465","21.255332","-0.00043","57.36"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","14","57557","33.614754","22.737222","-0.000492","57.08"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","15","61659","31.312977","21.60482","-0.000638","57.83"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","16","65767","30.205882","20.642131","-0.000575","58.93"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","17","69873","30.191176","20.555573","-0.000667","58.0"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","18","73978","33.373984","23.335003","-0.000292","57.65"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","19","78182","38.218182","26.993685","-0.000496","61.74"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","20","82333","37.396396","26.184421","-0.000483","58.46"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","21","86452","34.041322","23.506257","-0.001188","54.38"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","22","90554","43.178947","30.503156","-7.3e-05","48.14"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","23","94678","38.185185","27.163936","-0.000405","49.47"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","24","98804","36.192982","24.977558","-0.000569","49.39"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_3_mixed_traffic_training.csv","25","102931","42.112245","29.611903","-0.000289","49.32"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","1","4101","11.266484","5.708501","-0.005106","55.48"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","2","8198","11.739255","5.956634","-0.004182","54.99"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","3","12302","12.361446","6.446492","-0.003425","64.49"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","4","16402","13.531353","7.229181","-0.005384","62.61"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","5","20527","16.905738","9.739877","-0.004618","56.89"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","6","24624","16.453815","9.374525","-0.004374","54.37"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","7","28722","19.607656","11.763958","-0.005034","53.52"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","8","32848","24.414201","15.417589","-0.004725","55.4"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","9","36972","28.441379","19.017514","-0.004142","53.29"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","10","41151","30.727941","20.811865","-0.002595","53.62"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","11","45269","36.122807","24.676499","-0.002244","54.09"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","12","49379","38.411215","27.352024","-0.002906","53.47"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","13","53481","40.613861","29.316174","-0.002006","52.5"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","14","57583","44.586957","31.821855","-0.001761","52.15"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","15","61754","47.397727","33.739142","-0.001727","53.32"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","16","65877","52.858974","38.337029","-0.000822","53.04"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","17","70059","64.338462","47.765831","-0.001067","55.03"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","18","74157","65.047619","48.383524","-0.001004","53.2"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","19","78295","65.68254","48.520143","-0.00036","54.47"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","20","82418","95.883721","73.97727","-0.000992","54.17"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","21","86518","80.392157","60.877834","-0.001108","53.39"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","22","90872","111.641026","88.054974","-0.000367","56.11"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","23","95040","81.72549","62.604725","-0.000313","54.25"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","24","99211","97.0","76.196056","-0.00017","54.75"
"self_attention","01_curriculum_stage_3_mixed_traffic_training.csv","25","103339","117.942857","94.026821","-0.000259","54.24"
