model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,4,1003,35.6710417264275,52,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.00042759478856169153,0.0017467315774410963,14,0.2692307692307692
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,5,1004,495.91746193798514,600,0,0,0,1,overtake_easy,safeguarded,0.0005,5,0.0004435898999114822,0.0023071588948369026,208,0.3466666666666667
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,6,1005,188.47101837904182,230,1,0,1,0,stay_best,safeguarded,0.0005,5,0.0004939315003234104,0.002671110210940242,85,0.3695652173913043
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,7,1006,15.921841599672387,32,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0003789090616237445,0.0011848773574456573,9,0.28125
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,8,1007,32.12423230597139,42,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0004439129636358259,0.0014253840781748295,15,0.35714285714285715
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,9,1008,20.075243231812063,34,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0005236985544958289,0.0020022850949317217,16,0.47058823529411764
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,10,1009,438.68657244381177,556,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.00048233334487547496,0.0020233900286257267,204,0.3669064748201439
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,11,1010,500.5233182403218,600,0,0,0,1,overtake_blocked,safeguarded,0.0005,5,0.00046284266924279414,0.0020696562714874744,208,0.3466666666666667
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,12,1011,94.95020719340644,126,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0004404908937893139,0.0017238700529560447,43,0.3412698412698413
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,13,1012,35.786200889962345,46,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.00043990642093969814,0.001294091111049056,14,0.30434782608695654
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,14,1013,416.930688657237,502,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.00043005950700503436,0.002027879236266017,162,0.32270916334661354
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,15,1014,38.37486258775626,59,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0005537301877990041,0.001985126407817006,25,0.423728813559322
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,16,1015,16.09348547274609,27,1,0,1,0,overtake_blocked,safeguarded,0.0005,5,0.0004306202885076076,0.0015149182872846723,8,0.2962962962962963
uncertainty_meanmax_threshold,Uncertainty mean+max threshold,56789,17,1016,17.930277994858866,36,1,0,1,0,overtake_easy,safeguarded,0.0005,5,0.0003523532953598381,0.001592242275364697,7,0.19444444444444445
